Graph Id,Source Function,Node Description,Node Id,Node BCI,head,Valid Control Split
47953,example_ftest2,16|If,23,15,B2,True
47953,example_ftest2,16|If,16,10,B1,True
47953,example_ftest2,16|If,46,36,B8,True
47953,example_ftest2,16|If,39,31,B7,True
47953,example_ftest2,16|If,65,57,B14,True
47953,example_ftest2,16|If,59,52,B13,True
47953,example_ftest2,16|If,84,78,B20,True
47953,example_ftest2,16|If,77,73,B19,True
47953,example_ftest2,16|If,102,99,B26,True
47953,example_ftest2,16|If,96,94,B25,True
47953,example_ftest2,16|If,120,120,B32,True
47953,example_ftest2,16|If,114,115,B31,True
Summary:,True,,,,,
